Marketplace;Brand;Series;PriceNow;PriceOriginal;Guarantee_year;OS;CoresNumber;Processor;ProcessorType;ProcessorModel;ProcessorFrequency_GHz;GpuManufacturer;GpuController;ScreenSize_inch;ScreenFrequency_GHz;SSDSize_GGb;RAM_GGb;RAM_type;HDMI;Material;Battery_hour;Weight_kg
SberMegaMarket;MSI;игровой;85715;0;0;DOS;6;Intel;Core i5;12700H;nan;NVIDIA;GeForce RTX 3050;nan;144;512;8;DDR4;1;пластик;4;nan
SberMegaMarket;GIGABYTE;игровой;122300;0;0;Windows;14;Intel;Core i7;12700;nan;NVIDIA;GeForce RTX 3070;nan;nan;512;16;DDR4;1;nan;8;nan
SberMegaMarket;HP;для работы и учебы;65900;0;0;Windows;6;AMD;Ryzen 5;5600U;nan;AMD;Radeon Graphics;nan;nan;512;8;DDR4;0;nan;8;nan
SberMegaMarket;HP;для работы и учебы;60190;0;0;Windows;6;AMD;Ryzen 5;5600U;nan;AMD;Radeon Graphics;14;nan;256;8;DDR4;0;nan;8;nan
SberMegaMarket;ASUS;для работы и учебы;59000;0;0;Windows;4;Intel;Core i5;1135G7;nan;Intel;Iris Xe Graphics;nan;nan;512;8;DDR4;0;nan;8;nan
SberMegaMarket;ASUS;игровой;130152;0;0;DOS;8;AMD;Ryzen 7;6800H;nan;NVIDIA;GeForce RTX 3050;nan;144;1024;16;DDR5;1;nan;7;2
SberMegaMarket;Lenovo;универсальный;127722;0;0;Windows;10;Intel;Core i5;1235U;nan;Intel;Iris Xe Graphics;14;60;256;16;DDR4;1;nan;7;nan
SberMegaMarket;Lenovo;игровой;189990;0;0;DOS;8;AMD;Ryzen 7;5800H;nan;NVIDIA;GeForce RTX 3070;nan;165;1024;32;DDR4;1;пластик;09.фев;nan
SberMegaMarket;Lenovo;игровой;189990;0;0;DOS;8;AMD;Ryzen 7;5800H;nan;NVIDIA;GeForce RTX 3070;nan;165;1024;32;DDR4;1;пластик;09.фев;nan
SberMegaMarket;Lenovo;игровой;199390;0;0;Windows;8;AMD;Ryzen 7;6800H;nan;NVIDIA;GeForce RTX 3070;nan;165;1024;16;DDR5;1;пластик;10.авг;nan
SberMegaMarket;Lenovo;игровой;183890;0;0;Без ОС;14;Intel;Core i7;12700H;nan;NVIDIA;GeForce RTX 3070;nan;165;1024;16;DDR5;1;"алюминий; пластик";июн.68;nan
